system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HIP 57274,90.0,1.0,0,True,22272.964027442136,survived
HIP 57274,90.0,1.0,1,True,22272.96451053004,survived
HIP 57274,90.0,1.0,2,False,124.40189935440986,close_encounter
HIP 57274,90.0,1.0,3,False,4.69574791539456,close_encounter
HIP 57274,90.0,1.0,4,True,22272.964649893216,survived
HIP 57274,70.0,1.0641777724759123,0,False,20270.148637272356,escape
HIP 57274,70.0,1.0641777724759123,1,True,22272.964059474503,survived
HIP 57274,70.0,1.0641777724759123,2,False,32.48024128121601,close_encounter
HIP 57274,70.0,1.0641777724759123,3,False,169.23331400095395,close_encounter
HIP 57274,70.0,1.0641777724759123,4,True,22272.963782274423,survived
HIP 57274,55.0,1.220774588761456,0,False,171.25727493332826,close_encounter
HIP 57274,55.0,1.220774588761456,1,False,112.63413103732746,escape
HIP 57274,55.0,1.220774588761456,2,False,175.5277483326497,escape
HIP 57274,55.0,1.220774588761456,3,True,22272.96412213113,survived
HIP 57274,55.0,1.220774588761456,4,False,199.79868411084752,close_encounter
HIP 57274,40.0,1.5557238268604126,0,False,2455.1280306773956,close_encounter
HIP 57274,40.0,1.5557238268604126,1,False,567.2651745015531,close_encounter
HIP 57274,40.0,1.5557238268604126,2,False,1.0343157981205753,close_encounter
HIP 57274,40.0,1.5557238268604126,3,False,9.275745050215495,close_encounter
HIP 57274,40.0,1.5557238268604126,4,True,22272.964308648832,survived
HIP 57274,30.0,2.0000000000000004,0,True,22272.963798294506,survived
HIP 57274,30.0,2.0000000000000004,1,True,22272.964166597063,survived
HIP 57274,30.0,2.0000000000000004,2,False,813.2698376108776,close_encounter
HIP 57274,30.0,2.0000000000000004,3,False,11533.133883996856,escape
HIP 57274,30.0,2.0000000000000004,4,True,22272.96414647214,survived
HIP 57274,22.0,2.6694671625540143,0,True,22272.964162617704,survived
HIP 57274,22.0,2.6694671625540143,1,False,2.6044600387789045,close_encounter
HIP 57274,22.0,2.6694671625540143,2,True,22272.96391318475,survived
HIP 57274,22.0,2.6694671625540143,3,False,162.8750901331807,close_encounter
HIP 57274,22.0,2.6694671625540143,4,True,22272.96390661244,survived
HIP 57274,16.0,3.6279552785433005,0,False,162.76539295816008,close_encounter
HIP 57274,16.0,3.6279552785433005,1,False,272.16907804975625,close_encounter
HIP 57274,16.0,3.6279552785433005,2,True,22272.964748132883,survived
HIP 57274,16.0,3.6279552785433005,3,False,81.89012802110716,close_encounter
HIP 57274,16.0,3.6279552785433005,4,True,22272.963838389373,survived
HIP 57274,12.0,4.809734344744131,0,False,19.617738884006382,close_encounter
HIP 57274,12.0,4.809734344744131,1,True,22272.963770583978,survived
HIP 57274,12.0,4.809734344744131,2,True,22272.96442045047,survived
HIP 57274,12.0,4.809734344744131,3,False,34.29469623737776,close_encounter
HIP 57274,12.0,4.809734344744131,4,False,243.93668228293967,close_encounter
HIP 57274,9.0,6.392453221499662,0,False,1399.6527870534464,close_encounter
HIP 57274,9.0,6.392453221499662,1,True,22272.964515210002,survived
HIP 57274,9.0,6.392453221499662,2,False,154.12213229758018,close_encounter
HIP 57274,9.0,6.392453221499662,3,False,141.61791747884328,close_encounter
HIP 57274,9.0,6.392453221499662,4,True,22272.964075236003,survived
HIP 57274,7.0,8.205509048125078,0,False,2.748178039166184,close_encounter
HIP 57274,7.0,8.205509048125078,1,False,99.44284950895211,close_encounter
HIP 57274,7.0,8.205509048125078,2,False,1118.963682626876,close_encounter
HIP 57274,7.0,8.205509048125078,3,False,146.18993764821042,close_encounter
HIP 57274,7.0,8.205509048125078,4,False,200.69513064220126,close_encounter
HIP 57274,5.0,11.473713245669856,0,True,22272.963877265505,survived
HIP 57274,5.0,11.473713245669856,1,False,1647.9322014631039,close_encounter
HIP 57274,5.0,11.473713245669856,2,False,136.78633252062198,close_encounter
HIP 57274,5.0,11.473713245669856,3,True,22272.964525278745,survived
HIP 57274,5.0,11.473713245669856,4,False,244.44898915094865,close_encounter
